Sentence,Emoji,Condition,n,n_correct,accuracy
A mulher quase desmaiou,💉,b,10,10,1
A mulher quase desmaiou,😵‍💫,a,9,9,1
A água estava cristalina,💎,a,10,10,1
A água estava cristalina,🤿,b,10,10,1
A água estava cristalina,🪈,c,9,9,1
Ela dorme de luz acesa,👹,b,10,10,1
Ela dorme de luz acesa,💡,a,9,9,1
Ela está indo se vestir,🐐,c,9,9,1
Ela está indo se vestir,🚶‍♀️‍➡️,a,10,10,1
Ela foi aplaudida de pé,⚓,c,10,10,1
Ela foi aplaudida de pé,👏,a,9,9,1
Ela viu um 🦄 no desenho,🦄,filler,29,29,1
Ele caminhou pela cidade,🍪,c,10,10,1
Ele caminhou pela cidade,🗽,b,10,10,1
Ele caminhou pela cidade,🚶,a,9,9,1
Ele contou uma história,🍋,c,10,10,1
Ele contou uma história,💬,a,10,10,1
Ele contou uma história,🤥,b,9,9,1
Ele escorregou da escada,🧨,c,9,9,1
Ele escorregou da escada,🪜,a,10,10,1
Ele não vai beber hoje,🐦‍⬛,c,9,9,1
Ele não vai beber hoje,🚘,b,10,10,1
Eles entraram no mercado,🏪,a,9,9,1
Eles entraram no mercado,📡,c,10,10,1
Eles entraram no mercado,🔫,b,10,10,1
Eles fizeram o exame à ✏️,✏️,filler,29,29,1
Esse restaurante é famoso,🍣,b,10,10,1
Esse restaurante é famoso,🍴,a,10,10,1
Esse restaurante é famoso,🎾,c,9,9,1
Eu admiro aquele homem,🥪,c,10,10,1
Eu admiro aquele homem,🧍‍♂,a,9,9,1
Eu adoro festas típicas,🚰,c,9,9,1
Eu adoro festas típicas,🥳,a,10,10,1
Eu cortei o pão com a 🔪,🔪,filler,29,29,1
Eu estava suando bastante,💦,a,10,10,1
Eu fiz a barba com a 🪒,🪒,filler,29,29,1
Eu gosto de 🍉 no verão,🍉,filler,29,29,1
Eu preciso comprar roupas,🖨️,c,10,10,1
Eu preciso comprar roupas,🛍️,a,9,9,1
Eu preciso comprar roupas,🧣,b,10,10,1
Eu quase morri de susto,🕷️,b,9,9,1
Eu quase morri de susto,😱,a,10,10,1
Eu quase morri de susto,🥋,c,10,10,1
Eu tenho pavor de mato,🌱,a,9,9,1
Eu 🤮 a madrugada inteira,🤮,filler,29,29,1
Fomos à galeria de arte,🎨,a,10,10,1
Meu cachorro se machucou,🐍,b,10,10,1
Meu cachorro se machucou,🐕,a,9,9,1
Meu cachorro se machucou,🧞‍♂️,c,10,10,1
Meu colesterol está alto,⬆️,a,9,9,1
Meu colesterol está alto,🍔,b,10,10,1
Nós temos uma novidade,🍥,c,10,10,1
Nós temos uma novidade,🗣️,a,9,9,1
Nós temos uma novidade,🤰,b,10,10,1
O evento foi cancelado,❌,a,10,10,1
O evento foi cancelado,🪐,c,10,10,1
O menino quebrou o dente,🥻,c,9,9,1
O menino quebrou o dente,🦷,a,10,10,1
O nosso avião se atrasou,🌨️,b,9,9,1
O som alto me despertou,🎸,b,10,10,1
O vento está bom agora,🍃,a,10,10,1
O vento está bom agora,🐘,c,10,10,1
O vento está bom agora,🪁,b,9,9,1
O 🌡️ está marcando febre,🌡️,filler,29,29,1
O 🚕 demorou para chegar,🚕,filler,29,29,1
O 🚛 bloqueou o trânsito,🚛,filler,29,29,1
Os ingleses gostam de 🍵,🍵,filler,29,29,1
Os 🧑‍🚀 pisaram na lua,🧑‍🚀,filler,29,29,1
Presenteei vários amigos,☁️,c,9,9,1
