Id,Cond,Phrase,Emoji,Sent,Group,Block
90,c,Entrei numa briga feia,🧜‍♂️,90c.png,1,1
19,c,Eu gastei todo o dinheiro,🧲,19c.png,1,1
110,a,Eu quase morri de susto,😱,110a.png,1,1
97,b,Nós temos uma novidade,🤰,97b.png,1,1
87,a,Precisamos ter cuidado,👀,87a.png,1,1
107,a,Preparei com muito amor,🩷,107a.png,1,1
150,a,Tem uma mancha na blusa,👕,150a.png,1,1
31,c,O vento está bom agora,🐘,31c.png,1,1
95,b,Adoro explorar a cidade,🛴,95b.png,1,1
120,c,A berinjela não está boa,🐎,120c.png,1,1
12,b,Ela está indo se vestir,👠,12b.png,1,1
51,a,Mal consigo agachar hoje,🧎‍♂️,51a.png,1,1
62,c,Esqueci a panela aberta,🪝,62c.png,1,1
149,b,Meu cachorro se machucou,🐍,149b.png,1,1
124,a,Eu sujei o sapato todo,👞,124a.png,1,1
99,b,Eu acordei cansado hoje,🕺,99b.png,1,1
129,c,A mulher quase desmaiou,🦜,129c.png,1,1
57,a,Eu preciso me refrescar,🌬️,57a.png,1,1
109,b,Ele escorregou da escada,🛹,109b.png,1,1
41,c,Elas vão aproveitar o sol,🫑,41c.png,1,1
55,c,Preciso guardar as forças,🗝️,55c.png,1,1
21,a,Eu não suporto o inverno,❄️,21a.png,1,1
61,b,O mar está muito quieto,🎣,61b.png,1,1
35,c,Eu amo tanto esse artista,🧭,35c.png,1,2
105,b,Dormi em poucos segundos,💊,105b.png,1,2
75,b,Eu mal consigo respirar,🏃‍♂️,75b.png,1,2
32,a,Eu tenho pavor de mato,🌱,32a.png,1,2
94,c,Nós saímos depois da aula,🚛,94c.png,1,2
46,a,Ela me impressionou muito,😮,46a.png,1,2
70,c,O problema é a lanterna,🥓,70c.png,1,2
136,c,O som alto me despertou,🌏,136c.png,1,2
81,b,A praia está interditada,🦈,81b.png,1,2
65,a,A parede foi vandalizada,🧱,65a.png,1,2
15,a,O nosso avião se atrasou,✈️,15a.png,1,2
39,c,Eu te trouxe um presente,🧬,39c.png,1,2
22,a,Não irei ao escritório,🏢,22a.png,1,2
102,b,Bati o carro na viagem,🐄,102b.png,1,2
20,b,Eles entraram no mercado,🔫,20b.png,1,2
1,c,O evento foi cancelado,🪐,1c.png,1,2
118,b,Estou ocupado nesse dia,🧘‍♂️,118b.png,1,2
93,a,Quero comidas saudáveis,🥗,93a.png,1,2
131,b,Ela não consegue te ouvir,🎶,131b.png,1,2
108,b,Eu conquistei o troféu,🎳,108b.png,1,2
2,c,Eu admiro aquele homem,🥪,2c.png,1,2
78,a,Tive uma crise alérgica,😷,78a.png,1,2
107,b,Preparei com muito amor,👨‍🍳,107b.png,2,1
75,c,Eu mal consigo respirar,🎪,75c.png,2,1
109,c,Ele escorregou da escada,🧨,109c.png,2,1
80,a,Ensaiar me cansa demais,😵,80a.png,2,1
86,a,Eu não poderia ser médica,👩‍⚕️,86a.png,2,1
20,c,Eles entraram no mercado,📡,20c.png,2,1
99,c,Eu acordei cansado hoje,🦪,99c.png,2,1
149,c,Meu cachorro se machucou,🧞‍♂️,149c.png,2,1
91,a,Tive um dia entediante,🙄,91a.png,2,1
115,a,O barco bateu numa pedra,🪨,115a.png,2,1
97,c,Nós temos uma novidade,🍥,97c.png,2,1
9,a,Os alunos foram expulsos,🧑‍🏫,9a.png,2,1
65,b,A parede foi vandalizada,👶,65b.png,2,1
81,c,A praia está interditada,🍓,81c.png,2,1
92,a,Meu colesterol está alto,⬆️,92a.png,2,1
68,a,Não é meu dia de sorte,🍀,68a.png,2,1
106,a,Nós ganhamos alguns ovos,🥚,106a.png,2,1
95,c,Adoro explorar a cidade,⛓️,95c.png,2,1
105,c,Dormi em poucos segundos,🎈,105c.png,2,1
83,a,O personagem foi morto,⚰️,83a.png,2,1
116,a,Meus olhos estão ardendo,👁️,116a.png,2,1
50,a,Eu adorei a adrenalina,⚡,50a.png,2,1
102,c,Bati o carro na viagem,🍚,102c.png,2,1
22,b,Não irei ao escritório,⛳,22b.png,2,2
93,b,Quero comidas saudáveis,🍟,93b.png,2,2
12,c,Ela está indo se vestir,🐐,12c.png,2,2
61,c,O mar está muito quieto,🚞,61c.png,2,2
77,a,Vou à floresta mais tarde,🌳,77a.png,2,2
110,b,Eu quase morri de susto,🕷️,110b.png,2,2
51,b,Mal consigo agachar hoje,🚵,51b.png,2,2
108,c,Eu conquistei o troféu,🔐,108c.png,2,2
